date,spot,mid_price,implied_vol
2017-01-31,286.57,8.52,0.2824
2017-02-28,288.14,8.56,0.2827
2017-03-31,289.7,8.6,0.283
2017-04-28,291.27,8.64,0.2833
2017-05-31,292.84,8.68,0.2836
2017-06-30,294.41,8.72,0.2839
2017-07-31,295.98,8.76,0.2842
2017-08-31,297.55,8.8,0.2845
2017-09-29,299.12,8.84,0.2848
2017-10-31,300.69,8.88,0.2851
2017-11-30,302.26,8.92,0.2854
2017-12-29,303.83,8.96,0.2857
2018-01-31,305.4,9.0,0.286
2018-02-28,306.97,9.04,0.2863
2018-03-30,308.54,9.08,0.2866
2018-04-30,310.12,9.12,0.2869
2018-05-31,311.69,9.16,0.2872
2018-06-29,313.27,9.2,0.2875
2018-07-31,314.84,9.24,0.2878
2018-08-31,316.42,9.28,0.2881
2018-09-28,317.99,9.32,0.2884
2018-10-31,319.57,9.36,0.2887
2018-11-30,321.14,9.4,0.289
2018-12-31,322.72,9.44,0.2893
2019-01-31,324.3,9.48,0.2896
2019-02-28,325.87,9.52,0.2899
2019-03-29,327.45,9.56,0.2902
2019-04-30,329.03,9.6,0.2905
2019-05-31,330.61,9.64,0.2908
2019-06-28,332.19,9.68,0.2911
2019-07-31,333.77,9.72,0.2914
2019-08-30,335.35,9.76,0.2917
2019-09-30,336.93,9.8,0.292
2019-10-31,338.51,9.84,0.2923
2019-11-29,340.09,9.88,0.2926
2019-12-31,341.68,9.92,0.2929
