trade_date,expiration,strike,option_type,bid,ask,mid,implied_vol,root,maturity_days
2008-01-31,2008-03-16,100.0,C,4.0,4.4,4.2,0.25,SPY,45
2008-02-29,2008-04-14,101.2,C,4.04,4.44,4.24,0.2503,SPY,45
2008-03-31,2008-05-15,102.4,C,4.08,4.48,4.28,0.2506,SPY,45
2008-04-30,2008-06-14,103.6,C,4.12,4.52,4.32,0.2509,SPY,45
2008-05-30,2008-07-14,104.8,C,4.16,4.56,4.36,0.2512,SPY,45
2008-06-30,2008-08-14,106.0,C,4.2,4.6,4.4,0.2515,SPY,45
2008-07-31,2008-09-14,107.2,C,4.24,4.64,4.44,0.2518,SPY,45
2008-08-29,2008-10-13,108.4,C,4.28,4.68,4.48,0.2521,SPY,45
2008-09-30,2008-11-14,109.6,C,4.32,4.72,4.52,0.2524,SPY,45
2008-10-31,2008-12-15,110.8,C,4.36,4.76,4.56,0.2527,SPY,45
2008-11-28,2009-01-12,112.0,C,4.4,4.8,4.6,0.253,SPY,45
2008-12-31,2009-02-14,113.2,C,4.44,4.84,4.64,0.2533,SPY,45
2009-01-30,2009-03-16,114.4,C,4.48,4.88,4.68,0.2536,SPY,45
2009-02-27,2009-04-13,115.6,C,4.52,4.92,4.72,0.2539,SPY,45
2009-03-31,2009-05-15,116.8,C,4.56,4.96,4.76,0.2542,SPY,45
2009-04-30,2009-06-14,118.0,C,4.6,5.0,4.8,0.2545,SPY,45
2009-05-29,2009-07-13,119.2,C,4.64,5.04,4.84,0.2548,SPY,45
2009-06-30,2009-08-14,120.4,C,4.68,5.08,4.88,0.2551,SPY,45
2009-07-31,2009-09-14,121.6,C,4.72,5.12,4.92,0.2554,SPY,45
2009-08-31,2009-10-15,122.8,C,4.76,5.16,4.96,0.2557,SPY,45
2009-09-30,2009-11-14,124.0,C,4.8,5.2,5.0,0.256,SPY,45
2009-10-30,2009-12-14,125.2,C,4.84,5.24,5.04,0.2563,SPY,45
2009-11-30,2010-01-14,126.4,C,4.88,5.28,5.08,0.2566,SPY,45
2009-12-31,2010-02-14,127.6,C,4.92,5.32,5.12,0.2569,SPY,45
2010-01-29,2010-03-15,128.8,C,4.96,5.36,5.16,0.2572,SPY,45
2010-02-26,2010-04-12,130.0,C,5.0,5.4,5.2,0.2575,SPY,45
2010-03-31,2010-05-15,131.2,C,5.04,5.44,5.24,0.2578,SPY,45
2010-04-30,2010-06-14,132.4,C,5.08,5.48,5.28,0.2581,SPY,45
2010-05-31,2010-07-15,133.6,C,5.12,5.52,5.32,0.2584,SPY,45
2010-06-30,2010-08-14,134.8,C,5.16,5.56,5.36,0.2587,SPY,45
2010-07-30,2010-09-13,136.0,C,5.2,5.6,5.4,0.259,SPY,45
2010-08-31,2010-10-15,137.2,C,5.24,5.64,5.44,0.2593,SPY,45
2010-09-30,2010-11-14,138.4,C,5.28,5.68,5.48,0.2596,SPY,45
2010-10-29,2010-12-13,139.6,C,5.32,5.72,5.52,0.2599,SPY,45
