Date,Open,High,Low,Close,Adj Close,Volume
2008-01-31,119.0,121.25,118.25,120.0,120.0,2000000
2008-02-29,120.5,122.75,119.75,121.5,121.52,2001500
2008-03-31,122.0,124.25,121.25,123.0,123.04,2003000
2008-04-30,123.5,125.75,122.75,124.5,124.56,2004500
2008-05-30,125.0,127.25,124.25,126.0,126.08,2006000
2008-06-30,126.5,128.75,125.75,127.5,127.6,2007500
2008-07-31,128.0,130.25,127.25,129.0,129.12,2009000
2008-08-29,129.5,131.75,128.75,130.5,130.64,2010500
2008-09-30,131.0,133.25,130.25,132.0,132.16,2012000
2008-10-31,132.5,134.75,131.75,133.5,133.68,2013500
2008-11-28,134.0,136.25,133.25,135.0,135.2,2015000
2008-12-31,135.5,137.75,134.75,136.5,136.73,2016500
2009-01-30,137.0,139.25,136.25,138.0,138.25,2018000
2009-02-27,138.5,140.75,137.75,139.5,139.77,2019500
2009-03-31,140.0,142.25,139.25,141.0,141.3,2021000
2009-04-30,141.5,143.75,140.75,142.5,142.82,2022500
2009-05-29,143.0,145.25,142.25,144.0,144.35,2024000
2009-06-30,144.5,146.75,143.75,145.5,145.87,2025500
2009-07-31,146.0,148.25,145.25,147.0,147.4,2027000
2009-08-31,147.5,149.75,146.75,148.5,148.92,2028500
2009-09-30,149.0,151.25,148.25,150.0,150.45,2030000
2009-10-30,150.5,152.75,149.75,151.5,151.98,2031500
2009-11-30,152.0,154.25,151.25,153.0,153.5,2033000
2009-12-31,153.5,155.75,152.75,154.5,155.03,2034500
2010-01-29,155.0,157.25,154.25,156.0,156.56,2036000
2010-02-26,156.5,158.75,155.75,157.5,158.09,2037500
2010-03-31,158.0,160.25,157.25,159.0,159.62,2039000
2010-04-30,159.5,161.75,158.75,160.5,161.15,2040500
2010-05-31,161.0,163.25,160.25,162.0,162.68,2042000
2010-06-30,162.5,164.75,161.75,163.5,164.21,2043500
2010-07-30,164.0,166.25,163.25,165.0,165.74,2045000
2010-08-31,165.5,167.75,164.75,166.5,167.27,2046500
2010-09-30,167.0,169.25,166.25,168.0,168.81,2048000
2010-10-29,168.5,170.75,167.75,169.5,170.34,2049500
2010-11-30,170.0,172.25,169.25,171.0,171.87,2051000
2010-12-31,171.5,173.75,170.75,172.5,173.41,2052500
2011-01-31,173.0,175.25,172.25,174.0,174.94,2054000
2011-02-28,174.5,176.75,173.75,175.5,176.47,2055500
2011-03-31,176.0,178.25,175.25,177.0,178.01,2057000
2011-04-29,177.5,179.75,176.75,178.5,179.54,2058500
2011-05-31,179.0,181.25,178.25,180.0,181.08,2060000
2011-06-30,180.5,182.75,179.75,181.5,182.62,2061500
2011-07-29,182.0,184.25,181.25,183.0,184.15,2063000
2011-08-31,183.5,185.75,182.75,184.5,185.69,2064500
2011-09-30,185.0,187.25,184.25,186.0,187.23,2066000
2011-10-31,186.5,188.75,185.75,187.5,188.77,2067500
2011-11-30,188.0,190.25,187.25,189.0,190.3,2069000
2011-12-30,189.5,191.75,188.75,190.5,191.84,2070500
2012-01-31,191.0,193.25,190.25,192.0,193.38,2072000
2012-02-29,192.5,194.75,191.75,193.5,194.92,2073500
2012-03-30,194.0,196.25,193.25,195.0,196.46,2075000
2012-04-30,195.5,197.75,194.75,196.5,198.0,2076500
2012-05-31,197.0,199.25,196.25,198.0,199.54,2078000
2012-06-29,198.5,200.75,197.75,199.5,201.09,2079500
2012-07-31,200.0,202.25,199.25,201.0,202.63,2081000
2012-08-31,201.5,203.75,200.75,202.5,204.17,2082500
2012-09-28,203.0,205.25,202.25,204.0,205.71,2084000
2012-10-31,204.5,206.75,203.75,205.5,207.26,2085500
2012-11-30,206.0,208.25,205.25,207.0,208.8,2087000
2012-12-31,207.5,209.75,206.75,208.5,210.35,2088500
2013-01-31,209.0,211.25,208.25,210.0,211.89,2090000
2013-02-28,210.5,212.75,209.75,211.5,213.44,2091500
2013-03-29,212.0,214.25,211.25,213.0,214.98,2093000
2013-04-30,213.5,215.75,212.75,214.5,216.53,2094500
2013-05-31,215.0,217.25,214.25,216.0,218.07,2096000
2013-06-28,216.5,218.75,215.75,217.5,219.62,2097500
