date,spot,strike,option_type,implied_vol,mid_price,bid,ask,volume
2020-01-02,321.03,300.0,call,0.1798,24.01,23.83,24.08,510
2020-01-02,321.03,300.0,put,0.1716,3.03,2.75,3.12,996
2020-01-02,321.03,310.0,call,0.1747,13.37,13.04,13.33,798
2020-01-02,321.03,310.0,put,0.2038,2.86,2.49,2.68,1238
2020-01-02,321.03,320.0,call,0.1887,3.48,3.17,3.41,972
2020-01-02,321.03,320.0,put,0.1939,2.46,2.07,2.31,926
2020-01-02,321.03,330.0,call,0.1991,2.21,1.87,2.13,1117
2020-01-02,321.03,330.0,put,0.1904,11.74,11.44,11.54,828
2020-01-02,321.03,340.0,call,0.1892,3.32,3.15,3.35,889
2020-01-02,321.03,340.0,put,0.2022,21.65,21.26,21.6,705
2020-01-03,320.88,300.0,call,0.1528,23.74,23.49,23.87,996
2020-01-03,320.88,300.0,put,0.1878,3.09,2.75,3.01,960
2020-01-03,320.88,310.0,call,0.1931,13.52,13.24,13.47,637
2020-01-03,320.88,310.0,put,0.1876,2.33,2.17,2.33,687
2020-01-03,320.88,320.0,call,0.1841,3.08,2.84,2.97,819
2020-01-03,320.88,320.0,put,0.2065,2.39,2.02,2.4,391
2020-01-03,320.88,330.0,call,0.1862,2.35,2.04,2.22,946
2020-01-03,320.88,330.0,put,0.2104,11.67,11.29,11.56,439
2020-01-03,320.88,340.0,call,0.1876,3.12,2.72,3.1,822
2020-01-03,320.88,340.0,put,0.2041,22.07,21.78,22.13,720
2020-01-06,320.11,300.0,call,0.1792,22.73,22.56,22.9,617
2020-01-06,320.11,300.0,put,0.164,2.65,2.34,2.45,1119
2020-01-06,320.11,310.0,call,0.1779,13.02,12.76,13.06,1079
2020-01-06,320.11,310.0,put,0.1892,2.58,2.36,2.57,847
2020-01-06,320.11,320.0,call,0.1992,1.65,1.54,1.93,840
2020-01-06,320.11,320.0,put,0.1784,2.31,1.93,2.04,894
2020-01-06,320.11,330.0,call,0.182,2.1,1.92,2.09,687
2020-01-06,320.11,330.0,put,0.1822,12.39,12.28,12.41,651
2020-01-06,320.11,340.0,call,0.2095,2.69,2.48,2.8,1035
2020-01-06,320.11,340.0,put,0.1867,23.06,22.67,22.79,419
2020-01-07,320.63,300.0,call,0.1835,23.51,23.33,23.61,684
2020-01-07,320.63,300.0,put,0.1785,2.94,2.67,2.92,843
2020-01-07,320.63,310.0,call,0.1671,13.02,12.67,12.85,770
